Site,Product_Group,Truck_Appointment_Date,BL_weight,Freight_Amount
AMAZ,SW,2023-05-18,130739.0,5726.9400000000005
AMAZ,SW,2023-05-19,60618.0,908.5500000000001
AMAZ,SW,2023-05-22,195376.0,13734.619999999999
AMAZ,SW,2023-05-23,163758.0,11977.7
AMAZ,SW,2023-05-24,165247.0,4148.29
AMAZ,SW,2023-05-25,178650.0,3796.3
AMAZ,SW,2023-05-26,11573.0,1525.2800000000002
AMAZ,SW,2023-05-30,71764.0,3134.42
AMAZ,SW,2023-05-31,165225.0,6923.13
AMAZ,SW,2023-06-01,34665.0,2345.0
AMAZ,SW,2023-06-02,246450.0,11231.59
AMAZ,SW,2023-06-05,115498.0,8003.79
AMAZ,SW,2023-06-06,182483.0,16013.44
AMAZ,SW,2023-06-07,181955.0,11278.48
AMAZ,SW,2023-06-08,282923.0,12050.71
AMAZ,SW,2023-06-09,144863.0,8640.22
AMAZ,SW,2023-06-11,16590.0,0.0
AMAZ,SW,2023-06-12,138259.0,9766.79
AMAZ,SW,2023-06-13,231065.0,15139.17
AMAZ,SW,2023-06-14,295807.0,12388.91
AMAZ,SW,2023-06-15,191176.0,13053.61
AMAZ,SW,2023-06-16,97642.0,5554.78
AMAZ,SW,2023-06-19,93365.0,5001.95
AMAZ,SW,2023-06-20,201088.0,10828.91
AMAZ,SW,2023-06-21,282511.0,15594.07
AMAZ,SW,2023-06-22,122205.0,5245.0
AMAZ,SW,2023-06-23,21352.0,608.36
AMAZ,SW,2023-06-26,152418.0,7700.0
AMAZ,SW,2023-06-27,115610.0,3583.4700000000003
AMAZ,SW,2023-06-28,101100.0,3877.68
AMAZ,SW,2023-06-29,99629.0,4724.13
AMAZ,SW,2023-06-30,46022.0,6759.28
AMAZ,SW,2023-07-03,93612.0,4390.83
AMAZ,SW,2023-07-05,87682.0,6218.17
AMAZ,SW,2023-07-06,85838.0,2710.15
AMAZ,SW,2023-07-10,56927.0,4401.91
AMAZ,SW,2023-07-11,217693.0,9048.0
AMAZ,SW,2023-07-12,156985.0,10024.39
AMAZ,SW,2023-07-13,261159.0,10995.79
AMAZ,SW,2023-07-14,92848.0,10409.94
AMAZ,SW,2023-07-15,10846.0,850.0
AMAZ,SW,2023-07-17,108857.0,4045.86
AMAZ,SW,2023-07-18,190214.0,7932.63
AMAZ,SW,2023-07-19,124470.0,6914.51
AMAZ,SW,2023-07-20,126012.0,3775.6
AMAZ,SW,2023-07-21,46731.0,7292.7
AMAZ,SW,2023-07-24,219567.0,9980.6
AMAZ,SW,2023-07-25,140021.0,3945.45
AMAZ,SW,2023-07-26,148620.0,9222.03
AMAZ,SW,2023-07-27,97373.0,4945.7699999999995
AMAZ,SW,2023-07-28,104025.0,10840.1
AMAZ,SW,2023-07-29,138884.0,7750.0
AMAZ,SW,2023-07-31,128849.0,5285.9400000000005
AMAZ,SW,2023-08-01,151109.0,4428.32
AMAZ,SW,2023-08-02,141121.0,4886.55
AMAZ,SW,2023-08-03,154610.0,7440.0
AMAZ,SW,2023-08-04,168704.0,15328.57
AMAZ,SW,2023-08-07,98834.0,3960.0
AMAZ,SW,2023-08-08,101328.0,7780.46
AMAZ,SW,2023-08-09,158478.0,7605.0
AMAZ,SW,2023-08-10,19226.0,0.0
AMAZ,SW,2023-08-11,74535.0,2750.0
AMAZ,SW,2023-08-14,133225.0,4626.6
AMAZ,SW,2023-08-27,33464.0,1497.8
AMAZ,SW,2023-08-28,28215.0,2023.9
AMAZ,SW,2023-08-29,139832.0,10438.21
AMAZ,SW,2023-08-30,92403.0,4396.58
AMAZ,SW,2023-08-31,243896.0,7024.860000000001
AMAZ,SW,2023-09-01,103473.0,7892.74
AMAZ,SW,2023-09-04,13872.0,1300.0
AMAZ,SW,2023-09-05,59481.0,2294.64
AMAZ,SW,2023-09-06,179663.0,9415.03
AMAZ,SW,2023-09-07,228199.0,16574.12
AMAZ,SW,2023-09-08,132723.0,9376.09
AMAZ,SW,2023-09-09,19931.0,0.1
AMAZ,SW,2023-09-11,122414.0,5410.7
AMAZ,SW,2023-09-12,130046.0,8015.1900000000005
AMAZ,SW,2023-09-13,259825.0,10821.85
AMAZ,SW,2023-09-14,229971.0,14061.76
AMAZ,SW,2023-09-15,180228.0,12764.33
AMAZ,SW,2023-09-16,21107.0,700.1
AMAZ,SW,2023-09-18,188961.0,6224.6
AMAZ,SW,2023-09-19,56415.0,5045.56
AMAZ,SW,2023-09-20,73662.0,3648.54
AMAZ,SW,2023-09-21,161095.0,5234.63
AMAZ,SW,2023-09-22,183026.0,6778.29
AMAZ,SW,2023-09-24,29768.0,3772.4
AMAZ,SW,2023-09-25,181857.0,10744.28
AMAZ,SW,2023-09-26,179611.0,5906.1
AMAZ,SW,2023-09-27,110325.0,4612.2
AMAZ,SW,2023-09-28,115701.0,5933.66
AMAZ,SW,2023-09-29,174759.0,8789.46
AMAZ,SW,2023-09-30,23089.0,0.1
AMAZ,SW,2023-10-02,13038.0,1626.01
AMAZ,SW,2023-10-03,120479.0,7769.71
AMAZ,SW,2023-10-04,75774.0,1981.0
AMAZ,SW,2023-10-05,143369.0,3978.68
AMAZ,SW,2023-10-06,174352.0,11141.710000000001
AMAZ,SW,2023-10-09,140335.0,7264.78
AMAZ,SW,2023-10-10,204610.0,5649.39
AMAZ,SW,2023-10-11,219085.0,10176.11
AMAZ,SW,2023-10-12,260734.0,10647.98
AMAZ,SW,2023-10-13,190738.0,8899.95
AMAZ,SW,2023-10-14,77176.0,2675.0
AMAZ,SW,2023-10-16,111241.0,7544.85
AMAZ,SW,2023-10-17,190435.0,7551.45
AMAZ,SW,2023-10-18,118909.0,8843.58
AMAZ,SW,2023-10-19,201455.0,8116.2
AMAZ,SW,2023-10-20,232172.0,12781.85
AMAZ,SW,2023-10-23,230731.0,7423.28
AMAZ,SW,2023-10-24,180563.0,4865.24
AMAZ,SW,2023-10-25,118082.0,5459.4
AMAZ,SW,2023-10-26,94726.0,4647.26
AMAZ,SW,2023-10-27,4848.0,10.0
AMAZ,SW,2023-10-30,81169.0,2821.05
AMAZ,SW,2023-10-31,191853.0,12627.59
AMAZ,SW,2023-11-01,199040.0,7082.04
AMAZ,SW,2023-11-02,148722.0,3290.6800000000003
AMAZ,SW,2023-11-03,126112.0,9500.88
AMAZ,SW,2023-11-06,73543.0,2147.51
AMAZ,SW,2023-11-07,64656.0,2877.0
AMAZ,SW,2023-11-08,87381.0,4125.6
AMAZ,SW,2023-11-09,35745.0,3335.0
AMAZ,SW,2023-11-10,88872.0,8153.51
AMAZ,SW,2023-11-13,82300.0,6924.0
AMAZ,SW,2023-11-14,99915.0,4644.0
AMAZ,SW,2023-11-15,191574.0,12561.84
AMAZ,SW,2023-11-16,210382.0,7246.9
AMAZ,SW,2023-11-17,142465.0,5399.24
AMAZ,SW,2023-11-20,91170.0,2798.18
AMAZ,SW,2023-11-21,225161.0,12908.62
AMAZ,SW,2023-11-22,123089.0,8433.25
AMAZ,SW,2023-11-27,194367.0,11788.88
AMAZ,SW,2023-11-28,162392.0,5010.54
AMAZ,SW,2023-11-29,261865.0,15180.25
AMAZ,SW,2023-11-30,261549.0,7438.07
AMAZ,SW,2023-12-01,85072.0,6126.61
AMAZ,SW,2023-12-04,152593.0,9460.65
AMAZ,SW,2023-12-05,132982.0,8223.74
AMAZ,SW,2023-12-06,239621.0,10324.44
AMAZ,SW,2023-12-07,128789.0,10204.92
AMAZ,SW,2023-12-08,199533.0,10607.43
AMAZ,SW,2023-12-11,100563.0,6806.92
AMAZ,SW,2023-12-12,22728.0,275.83
AMAZ,SW,2023-12-13,44058.0,8057.88
AMAZ,SW,2023-12-14,58053.0,2395.0
AMAZ,SW,2023-12-15,224388.0,14748.46
AMAZ,SW,2023-12-18,19024.0,1168.12
AMAZ,SW,2023-12-19,240924.0,7568.22
AMAZ,SW,2023-12-20,81937.0,2176.48
AMAZ,SW,2023-12-21,92009.0,4370.82
AMAZ,SW,2023-12-22,130823.0,3770.0
AMAZ,SW,2023-12-27,66341.0,3476.66
AMAZ,SW,2023-12-28,49880.0,3864.59
AMAZ,SW,2023-12-29,84321.0,8315.81
AMAZ,SW,2024-01-02,22597.0,2210.0
AMAZ,SW,2024-01-03,125488.0,5723.75
AMAZ,SW,2024-01-04,136268.0,6098.74
AMAZ,SW,2024-01-05,101063.0,7148.77
AMAZ,SW,2024-01-09,110078.0,6645.2
AMAZ,SW,2024-01-10,103300.0,5893.86
AMAZ,SW,2024-01-11,45450.0,821.59
AMAZ,SW,2024-01-12,122170.0,12143.960000000001
AMAZ,SW,2024-01-15,137245.0,6395.0
AMAZ,SW,2024-01-16,96083.0,8838.91
AMAZ,SW,2024-01-17,69767.0,3844.67
AMAZ,SW,2024-01-18,166871.0,6148.0
AMAZ,SW,2024-01-19,184320.0,11741.27
AMAZ,SW,2024-01-22,25860.0,1099.88
AMAZ,SW,2024-01-23,106000.0,14103.18
AMAZ,SW,2024-01-24,71615.0,5469.0
AMAZ,SW,2024-01-25,190335.0,8578.35
AMAZ,SW,2024-01-26,145389.0,5681.0
AMAZ,SW,2024-01-27,55863.0,3263.95
AMAZ,SW,2024-01-28,26600.0,10.0
AMAZ,SW,2024-01-29,39058.0,1750.68
AMAZ,SW,2024-01-30,140854.0,8114.83
AMAZ,SW,2024-01-31,196509.0,9420.01
AMAZ,SW,2024-02-01,21268.0,550.0
AMAZ,SW,2024-02-02,148484.0,10657.76
AMAZ,SW,2024-02-04,36319.0,570.0
AMAZ,SW,2024-02-05,41628.0,787.3
AMAZ,SW,2024-02-06,85556.0,6764.76
AMAZ,SW,2024-02-07,85174.0,2167.98
AMAZ,SW,2024-02-08,56139.0,1940.0
AMAZ,SW,2024-02-09,190914.0,11549.56
AMAZ,SW,2024-02-10,48768.0,1243.0
AMAZ,SW,2024-02-12,62231.0,1790.25
AMAZ,SW,2024-02-13,120976.0,6463.34
AMAZ,SW,2024-02-14,203321.0,5904.91
AMAZ,SW,2024-02-15,59931.0,3314.87
AMAZ,SW,2024-02-16,41075.0,3854.67
AMAZ,SW,2024-02-20,90247.0,6944.6
AMAZ,SW,2024-02-21,154637.0,7485.08
AMAZ,SW,2024-02-22,106507.0,4401.8
