Site,BL_Number,Truck_Appointment_Date,BL_weight,Freight_Amount,Product_Group
AMAZ,W31A241,2023-01-11,1455.0,310.49,SW
AMAZ,W31A252,2023-01-12,17235.0,785.0,SW
AMAZ,W31A270,2023-01-11,446.0,212.94,SW
AMAZ,W31A304,2023-01-12,5340.0,0.0,SW
AMAZ,W31A356,2023-01-12,19981.0,850.0,SW
AMAZ,W31A368,2023-01-12,10908.0,0.0,SW
AMAZ,W31A369,2023-01-12,23648.0,785.0,SW
AMAZ,W31A371,2023-02-03,35308.0,2700.0,SW
AMAZ,W31A377,2023-02-02,17524.0,0.0,SW
AMAZ,W31A516,2023-02-13,19921.0,2000.0,SW
AMAZ,W31A519,2023-02-09,23021.0,910.0,SW
AMAZ,W31A682,2023-02-02,27768.0,0.1,SW
AMAZ,W31A719,2023-02-15,12120.0,0.0,SW
AMAZ,W31A745,2023-02-27,34224.0,2395.0,SW
AMAZ,W31A843,2023-02-09,37891.0,0.01,SW
AMAZ,W31A877,2023-03-16,33598.0,0.1,SW
AMAZ,W31A921,2023-03-14,39060.0,0.1,SW
AMAZ,W31A922,2023-03-07,29892.0,725.0,SW
AMAZ,W31A923,2023-02-28,31758.0,0.1,SW
AMAZ,W31B015,2023-02-02,3723.0,595.34,SW
AMAZ,W31B061,2023-02-02,30101.0,1595.0,SW
AMAZ,W31B108,2023-02-28,29020.0,875.0,SW
AMAZ,W31B162,2023-02-02,20962.0,1893.0,SW
AMAZ,W31B222,2023-02-22,29304.0,2900.0,SW
AMAZ,W31B232,2023-03-15,30920.0,725.0,SW
AMAZ,W31B238,2023-03-13,25987.0,725.0,SW
AMAZ,W31B253,2023-02-27,6305.0,2778.31,SW
AMAZ,W31B276,2023-02-02,10025.0,0.0,SW
AMAZ,W31B745,2023-02-25,17760.0,2850.0,SW
AMAZ,W31B976,2023-02-02,21243.0,0.0,SW
AMAZ,W31C025,2023-02-02,8934.0,667.6,SW
AMAZ,W31C061,2023-03-21,37504.0,1991.0,SW
AMAZ,W31C493,2023-03-22,8414.0,525.0,SW
AMAZ,W31C931,2023-03-06,21132.0,935.0,SW
AMAZ,W31C976,2023-02-07,8687.0,0.0,SW
AMAZ,W32A024,2023-02-27,32431.0,2100.0,SW
AMAZ,W32A046,2023-03-06,27552.0,3700.0,SW
AMAZ,W32A052,2023-03-27,1224.0,393.39,SW
AMAZ,W32A053,2023-03-30,20552.0,3550.0,SW
AMAZ,W32A056,2023-02-28,32358.0,1900.0,SW
AMAZ,W32A067,2023-02-23,12800.0,697.3,SW
AMAZ,W32A069,2023-03-02,25408.0,1200.0,SW
AMAZ,W32A078,2023-02-23,25440.0,0.1,SW
AMAZ,W32A172,2023-03-10,38286.0,2750.0,SW
AMAZ,W32A213,2023-02-08,3370.0,690.37,SW
AMAZ,W32A226,2023-02-08,4728.0,0.0,SW
AMAZ,W32A289,2022-02-21,33600.0,725.0,SW
AMAZ,W32A343,2023-03-31,29682.0,785.0,SW
AMAZ,W32A354,2023-03-09,28384.0,785.0,SW
AMAZ,W32A355,2023-04-10,33484.0,825.0,SW
AMAZ,W32A390,2023-03-08,29368.0,2495.0,SW
AMAZ,W32A391,2023-03-25,19344.0,0.1,SW
AMAZ,W32A395,2023-02-25,29735.0,2300.0,SW
AMAZ,W32A396,2023-03-23,22250.0,1695.0,SW
AMAZ,W32A397,2023-03-08,18277.0,825.0,SW
AMAZ,W32A399,2023-03-09,31195.0,2000.0,SW
AMAZ,W32A458,2023-03-02,37315.0,2200.0,SW
AMAZ,W32A461,2023-02-28,14180.0,0.0,SW
AMAZ,W32A595,2023-02-22,2880.0,342.99,SW
AMAZ,W32A603,2023-03-01,38727.0,0.1,SW
AMAZ,W32A620,2023-03-03,24207.0,0.1,SW
AMAZ,W32A624,2023-03-01,2894.0,310.61,SW
AMAZ,W32A632,2023-03-08,33303.0,725.0,SW
AMAZ,W32A653,2023-02-21,14866.0,0.0,SW
AMAZ,W32A663,2023-02-24,8204.0,0.0,SW
AMAZ,W32A678,2023-03-15,6209.0,996.97,SW
AMAZ,W32A682,2023-02-21,1685.0,350.6,SW
AMAZ,W32A691,2023-03-14,7200.0,651.71,SW
AMAZ,W32A708,2023-03-08,34468.0,875.0,SW
AMAZ,W32A712,2023-02-22,5709.0,805.89,SW
AMAZ,W32A713,2023-03-25,37184.0,825.0,SW
AMAZ,W32A715,2023-02-22,2696.0,371.35,SW
AMAZ,W32A718,2023-02-28,26420.0,0.0,SW
AMAZ,W32A720,2023-02-22,3660.0,0.0,SW
AMAZ,W32A723,2023-02-27,15549.0,1200.0,SW
AMAZ,W32A749,2023-02-28,27656.0,785.0,SW
AMAZ,W32A758,2023-03-07,10908.0,2092.11,SW
AMAZ,W32A759,2023-02-23,6363.0,1388.28,SW
AMAZ,W32A761,2023-02-22,2978.0,0.0,SW
AMAZ,W32A763,2023-03-02,2211.0,0.0,SW
AMAZ,W32A778,2023-03-24,20300.0,785.0,SW
AMAZ,W32A782,2023-04-27,37128.0,725.0,SW
AMAZ,W32A796,2023-02-25,20556.0,3400.0,SW
AMAZ,W32A798,2023-02-24,3318.0,513.3,SW
AMAZ,W32A808,2023-02-24,25220.0,2700.0,SW
AMAZ,W32A824,2023-02-24,5980.0,659.68,SW
AMAZ,W32A851,2023-02-27,31196.0,0.0,SW
AMAZ,W32A852,2023-02-27,31196.0,0.0,SW
AMAZ,W32A853,2023-03-07,36458.0,0.1,SW
AMAZ,W32A874,2023-04-03,38286.0,2350.0,SW
AMAZ,W32A876,2023-05-10,38286.0,2200.0,SW
AMAZ,W32A886,2023-03-13,2136.0,459.18,SW
AMAZ,W32A893,2023-03-13,6386.0,853.34,SW
AMAZ,W32A899,2023-03-09,37444.0,815.0,SW
AMAZ,W32A900,2023-03-01,15202.0,0.0,SW
AMAZ,W32A902,2023-02-27,7272.0,886.51,SW
AMAZ,W32A905,2023-03-01,19344.0,725.0,SW
AMAZ,W32A906,2023-03-03,19344.0,725.0,SW
AMAZ,W32A910,2023-03-20,32453.0,725.0,SW
AMAZ,W32A917,2023-03-15,5226.0,941.29,SW
AMAZ,W32A924,2023-04-04,6400.0,0.0,SW
AMAZ,W32A945,2023-02-24,8934.0,965.95,SW
AMAZ,W32A946,2023-03-28,26600.0,2600.0,SW
AMAZ,W32A947,2023-02-27,33270.0,0.1,SW
AMAZ,W32A947,2023-03-01,17860.0,850.0,SW
AMAZ,W32A948,2023-02-27,37806.0,925.0,SW
AMAZ,W32A983,2023-03-02,21730.0,785.0,SW
AMAZ,W32B004,2023-02-24,2364.0,0.0,SW
AMAZ,W32B021,2023-03-27,11330.0,1252.14,SW
AMAZ,W32B028,2023-03-10,25388.0,1873.8,SW
AMAZ,W32B040,2023-03-29,33244.0,900.0,SW
AMAZ,W32B054,2023-03-21,15028.0,725.0,SW
AMAZ,W32B087,2023-03-15,28196.0,725.0,SW
AMAZ,W32B098,2023-03-22,40788.0,1914.84,SW
AMAZ,W32B107,2023-03-01,2522.0,271.15,SW
AMAZ,W32B116,2023-04-10,18125.0,1800.0,SW
AMAZ,W32B118,2023-03-03,31930.0,785.0,SW
AMAZ,W32B122,2023-04-10,16690.0,785.0,SW
AMAZ,W32B147,2023-03-21,12888.0,903.87,SW
AMAZ,W32B157,2023-03-24,19344.0,0.1,SW
AMAZ,W32B173,2023-03-13,9393.0,715.56,SW
AMAZ,W32B175,2023-03-06,27412.0,4000.0,SW
AMAZ,W32B181,2023-03-15,24492.0,2100.0,SW
AMAZ,W32B187,2023-03-20,7742.0,0.0,SW
AMAZ,W32B188,2023-03-01,8088.0,0.0,SW
AMAZ,W32B191,2023-03-13,37659.0,1350.0,SW
AMAZ,W32B196,2023-03-27,38808.0,0.1,SW
AMAZ,W32B203,2023-03-10,5436.0,795.0,SW
AMAZ,W32B206,2023-03-02,19916.0,0.1,SW
AMAZ,W32B223,2023-03-06,21838.0,0.1,SW
AMAZ,W32B225,2023-03-21,27826.0,0.1,SW
AMAZ,W32B229,2023-02-22,1513.0,200.29,SW
AMAZ,W32B233,2023-03-15,21360.0,1480.8,SW
AMAZ,W32B235,2023-03-27,21335.0,0.1,SW
AMAZ,W32B236,2023-06-29,27921.0,1000.0,SW
AMAZ,W32B237,2023-03-13,17826.0,2178.0,SW
AMAZ,W32B285,2023-05-04,1659.0,200.65,SW
AMAZ,W32B391,2023-03-25,19152.0,2450.0,SW
AMAZ,W32B403,2023-03-03,34447.0,785.0,SW
AMAZ,W32B590,2023-02-28,24788.0,0.1,SW
AMAZ,W32B632,2023-03-21,36498.0,0.1,SW
AMAZ,W32B712,2023-02-28,36567.0,0.1,SW
AMAZ,W32B759,2023-03-07,909.0,335.83,SW
AMAZ,W32B824,2023-03-21,11981.0,1129.82,SW
AMAZ,W32B900,2023-03-02,6066.0,0.0,SW
AMAZ,W32B945,2023-02-28,34868.0,2495.0,SW
AMAZ,W32C028,2023-03-14,28928.0,1995.0,SW
AMAZ,W32C107,2023-03-08,9928.0,744.0,SW
AMAZ,W32C117,2023-03-01,14958.0,1135.66,SW
AMAZ,W32C118,2023-03-07,26596.0,850.0,SW
AMAZ,W32C132,2023-03-28,3720.0,312.81,SW
AMAZ,W32C140,2023-03-22,3723.0,0.0,SW
AMAZ,W32C141,2023-03-23,31548.0,0.0,SW
AMAZ,W32C189,2023-03-21,1659.0,195.92,SW
AMAZ,W32C206,2023-03-15,16170.0,0.1,SW
AMAZ,W32C603,2023-03-16,32329.0,725.0,SW
AMAZ,W32C612,2023-03-07,6195.0,850.0,SW
AMAZ,W32C900,2023-03-09,13158.0,0.0,SW
AMAZ,W32C945,2023-03-03,4272.0,638.51,SW
AMAZ,W32D107,2023-03-17,4644.0,459.42,SW
AMAZ,W32D203,2023-03-21,10872.0,1145.0,SW
AMAZ,W32D612,2023-03-16,12976.0,1300.0,SW
AMAZ,W32D900,2023-03-17,10070.0,0.0,SW
AMAZ,W32E107,2023-03-21,4977.0,475.44,SW
AMAZ,W32E203,2023-03-17,6265.0,810.0,SW
AMAZ,W33A025,2023-03-08,28452.0,2550.0,SW
AMAZ,W33A026,2023-04-24,41229.0,785.0,SW
AMAZ,W33A030,2023-03-06,20071.0,2300.0,SW
AMAZ,W33A051,2023-03-17,19344.0,10.0,SW
AMAZ,W33A057,2023-03-06,13926.0,0.1,SW
AMAZ,W33A058,2023-03-10,7565.0,563.05,SW
AMAZ,W33A064,2023-03-08,2522.0,261.43,SW
AMAZ,W33A091,2023-03-17,4282.0,419.73,SW
AMAZ,W33A132,2023-03-07,28554.0,725.0,SW
AMAZ,W33A152,2023-03-13,35014.0,0.1,SW
AMAZ,W33A182,2023-03-13,2424.0,726.92,SW
AMAZ,W33A193,2023-04-03,5525.0,778.72,SW
AMAZ,W33A211,2023-03-08,18439.0,1890.95,SW
AMAZ,W33A224,2023-04-03,24925.0,725.0,SW
AMAZ,W33A241,2023-03-24,12870.0,800.0,SW
AMAZ,W33A259,2023-03-20,30382.0,2050.0,SW
AMAZ,W33A263,2023-03-21,10265.0,1110.0,SW
AMAZ,W33A274,2023-03-14,22268.0,775.0,SW
AMAZ,W33A285,2023-03-22,2894.0,572.87,SW
AMAZ,W33A286,2023-03-17,17729.0,0.0,SW
AMAZ,W33A289,2023-04-05,21871.0,2000.0,SW
AMAZ,W33A292,2023-04-04,18392.0,2100.0,SW
AMAZ,W33A296,2023-03-13,892.0,244.07,SW
AMAZ,W33A322,2023-04-25,1224.0,271.93,SW
AMAZ,W33A325,2023-03-16,24080.0,0.1,SW
AMAZ,W33A328,2023-03-20,4349.0,529.06,SW
AMAZ,W33A352,2023-03-17,10045.0,858.07,SW
AMAZ,W33A377,2023-03-14,4749.0,683.96,SW
AMAZ,W33A384,2023-04-20,20280.0,715.0,SW
AMAZ,W33A402,2023-03-16,26012.0,1797.04,SW
AMAZ,W33A407,2023-03-21,19392.0,2300.0,SW
AMAZ,W33A418,2023-03-20,2890.0,691.37,SW
AMAZ,W33A426,2023-03-17,30145.0,0.1,SW
AMAZ,W33A427,2023-03-23,25632.0,725.0,SW
AMAZ,W33A434,2023-03-20,4791.0,584.01,SW
AMAZ,W33A444,2023-03-20,1830.0,353.45,SW
AMAZ,W33A453,2023-03-16,2696.0,368.22,SW
AMAZ,W33A477,2023-03-28,3807.0,0.0,SW
AMAZ,W33A485,2023-03-27,6345.0,663.63,SW
AMAZ,W33A515,2021-03-20,38271.0,975.0,SW
AMAZ,W33A517,2023-03-21,5616.0,661.17,SW
AMAZ,W33A527,2023-05-08,14710.0,785.0,SW
AMAZ,W33A533,2023-03-16,35341.0,725.0,SW
AMAZ,W33A543,2023-03-16,6305.0,0.0,SW
AMAZ,W33A544,2023-04-03,22400.0,725.0,SW
AMAZ,W33A552,2023-05-02,2820.0,198.72,SW
AMAZ,W33A557,2023-03-23,8772.0,0.0,SW
AMAZ,W33A564,2023-03-17,30468.0,2850.0,SW
AMAZ,W33A572,2023-03-24,17524.0,0.1,SW
AMAZ,W33A599,2023-04-03,3571.0,590.52,SW
AMAZ,W33A601,2023-03-24,24785.0,0.1,SW
AMAZ,W33A615,2023-03-28,12332.0,825.0,SW
AMAZ,W33A625,2023-04-21,19110.0,715.0,SW
AMAZ,W33A635,2023-03-21,33241.0,0.1,SW
AMAZ,W33A636,2023-04-27,19318.0,725.0,SW
AMAZ,W33A649,2023-03-24,5988.0,983.92,SW
AMAZ,W33A655,2023-03-28,2230.0,516.07,SW
AMAZ,W33A659,2023-03-28,20809.0,2395.0,SW
AMAZ,W33A665,2023-03-24,9662.0,850.0,SW
AMAZ,W33A673,2023-04-04,32724.0,1900.0,SW
AMAZ,W33A674,2023-04-03,38726.0,2000.0,SW
AMAZ,W33A678,2023-03-22,21528.0,2250.0,SW
AMAZ,W33A697,2023-03-20,7518.0,672.48,SW
AMAZ,W33A706,2023-03-23,20006.0,785.0,SW
AMAZ,W33A740,2023-04-03,2560.0,373.36,SW
AMAZ,W33A749,2023-04-04,4219.0,0.0,SW
AMAZ,W33A761,2023-03-28,20144.0,2050.0,SW
AMAZ,W33A764,2023-04-05,35242.0,785.0,SW
AMAZ,W33A768,2023-03-23,36893.0,2395.0,SW
AMAZ,W33A775,2023-03-23,5454.0,999.0,SW
AMAZ,W33A777,2023-03-23,27279.0,2195.0,SW
AMAZ,W33A777,2023-03-28,22813.0,2095.0,SW
AMAZ,W33A786,2023-03-24,28897.0,1950.0,SW
AMAZ,W33A795,2023-03-31,37112.0,725.0,SW
AMAZ,W33A798,2023-03-27,31793.0,850.0,SW
AMAZ,W33A805,2023-03-23,35431.0,0.1,SW
AMAZ,W33A806,2023-04-05,18720.0,800.0,SW
AMAZ,W33A814,2023-04-14,25684.0,785.0,SW
AMAZ,W33A819,2023-04-03,32000.0,1300.0,SW
AMAZ,W33A824,2023-03-30,12120.0,0.0,SW
AMAZ,W33A833,2023-04-28,19209.0,3500.0,SW
AMAZ,W33A839,2023-03-23,3370.0,677.66,SW
AMAZ,W33A847,2023-03-28,20890.0,0.0,SW
AMAZ,W33A850,2023-04-05,6935.0,616.72,SW
AMAZ,W33A854,2023-03-27,5856.0,680.76,SW
AMAZ,W33A868,2023-03-29,24760.0,725.0,SW
AMAZ,W33A880,2023-03-24,39081.0,3200.0,SW
AMAZ,W33A907,2023-03-27,1149.0,336.92,SW
AMAZ,W33A911,2023-03-29,13741.0,1700.0,SW
AMAZ,W33A912,2023-04-12,18849.0,1600.0,SW
AMAZ,W33A919,2023-04-29,24925.0,725.0,SW
AMAZ,W33A926,2023-03-27,2482.0,393.45,SW
AMAZ,W33A927,2023-04-12,14488.0,875.0,SW
AMAZ,W33A927,2023-04-13,17372.0,850.0,SW
AMAZ,W33A949,2023-03-28,1488.0,336.2,SW
AMAZ,W33A962,2023-05-01,31488.0,1500.0,SW
AMAZ,W33A966,2023-03-28,9999.0,1625.44,SW
AMAZ,W33A968,2023-04-18,24203.0,2395.0,SW
AMAZ,W33B001,2023-03-31,19032.0,365.0,SW
AMAZ,W33B024,2023-04-04,6125.0,0.0,SW
AMAZ,W33B025,2023-03-29,32259.0,725.0,SW
AMAZ,W33B029,2023-04-06,7235.0,993.3,SW
AMAZ,W33B046,2023-04-03,1860.0,364.33,SW
AMAZ,W33B052,2023-03-30,34616.0,825.0,SW
AMAZ,W33B061,2023-03-30,19536.0,725.0,SW
AMAZ,W33B063,2023-04-04,24011.0,700.0,SW
AMAZ,W33B093,2023-04-05,9954.0,1066.58,SW
AMAZ,W33B096,2023-05-05,28431.0,3625.0,SW
AMAZ,W33B104,2023-03-10,4848.0,945.63,SW
AMAZ,W33B108,2023-03-31,3370.0,673.95,SW
AMAZ,W33B116,2023-04-03,28040.0,3600.0,SW
AMAZ,W33B134,2023-04-03,9696.0,1447.28,SW
AMAZ,W33B145,2023-04-03,33554.0,2000.0,SW
AMAZ,W33B162,2023-04-11,36215.0,875.0,SW
AMAZ,W33B164,2023-04-03,15495.0,785.0,SW
AMAZ,W33B165,2023-04-04,37622.0,2900.0,SW
AMAZ,W33B176,2023-04-12,33180.0,725.0,SW
AMAZ,W33B192,2023-04-11,25636.0,825.0,SW
AMAZ,W33B202,2023-04-11,1548.0,0.0,SW
AMAZ,W33B224,2023-04-06,37701.0,725.0,SW
AMAZ,W33B259,2023-04-11,16965.0,925.0,SW
AMAZ,W33B263,2023-03-22,8414.0,525.0,SW
AMAZ,W33B286,2023-03-30,23070.0,0.0,SW
AMAZ,W33B352,2023-03-27,4413.0,480.2,SW
AMAZ,W33B426,2023-03-21,23699.0,825.0,SW
AMAZ,W33B533,2023-03-20,35743.0,785.0,SW
AMAZ,W33B543,2023-03-16,6305.0,0.0,SW
AMAZ,W33B601,2023-03-28,28886.0,725.0,SW
AMAZ,W33B625,2023-04-27,1170.0,166.76,SW
AMAZ,W33B795,2023-04-18,25403.0,725.0,SW
AMAZ,W33B919,2023-08-14,15028.0,725.0,SW
AMAZ,W33C162,2023-04-11,20264.0,900.0,SW
AMAZ,W33C224,2023-04-13,15100.0,725.0,SW
AMAZ,W33C241,2023-04-04,6186.0,875.0,SW
AMAZ,W33C263,2023-03-29,7184.0,525.0,SW
AMAZ,W33D176,2023-05-18,29920.0,785.0,SW
AMAZ,W33E263,2023-03-31,6400.0,525.0,SW
AMAZ,W34A004,2023-04-13,7710.0,375.97,SW
AMAZ,W34A009,2023-04-04,35199.0,0.0,SW
AMAZ,W34A011,2023-04-12,9440.0,0.0,SW
AMAZ,W34A033,2023-04-05,31521.0,1750.0,SW
AMAZ,W34A047,2023-04-06,2156.0,284.67,SW
AMAZ,W34A093,2023-04-24,34662.0,785.0,SW
AMAZ,W34A095,2023-04-10,2506.0,515.06,SW
AMAZ,W34A096,2023-04-11,3783.0,0.0,SW
AMAZ,W34A099,2023-04-11,22602.0,2100.0,SW
AMAZ,W34A115,2023-04-14,3204.0,0.0,SW
AMAZ,W34A116,2023-04-26,22970.0,725.0,SW
AMAZ,W34A124,2023-04-14,8295.0,873.86,SW
AMAZ,W34A125,2023-04-13,34289.0,1650.0,SW
AMAZ,W34A136,2023-04-19,2847.0,354.8,SW
AMAZ,W34A143,2023-04-11,38838.0,1295.0,SW
AMAZ,W34A146,2023-04-12,23192.0,1893.0,SW
AMAZ,W34A148,2023-04-21,23192.0,1700.0,SW
AMAZ,W34A149,2023-04-26,19916.0,1700.0,SW
AMAZ,W34A153,2023-04-05,38400.0,725.0,SW
AMAZ,W34A158,2023-04-14,11446.0,3700.0,SW
AMAZ,W34A161,2023-05-12,19344.0,2200.0,SW
AMAZ,W34A188,2023-04-12,27951.0,0.1,SW
AMAZ,W34A201,2023-04-24,32734.0,825.0,SW
AMAZ,W34A236,2023-04-12,25619.0,0.0,SW
AMAZ,W34A239,2023-04-11,36565.0,1645.0,SW
AMAZ,W34A265,2023-04-12,17524.0,1150.0,SW
AMAZ,W34A267,2023-04-14,23640.0,785.0,SW
AMAZ,W34A282,2023-04-21,17460.0,725.0,SW
AMAZ,W34A296,2023-05-24,24860.0,725.0,SW
AMAZ,W34A298,2023-04-21,30698.0,785.0,SW
AMAZ,W34A323,2023-04-28,40884.0,2575.0,SW
AMAZ,W34A337,2023-05-05,5878.0,567.08,SW
AMAZ,W34A339,2023-04-29,38808.0,725.0,SW
AMAZ,W34A343,2023-04-24,21285.0,725.0,SW
AMAZ,W34A344,2023-05-03,21285.0,725.0,SW
AMAZ,W34A349,2023-04-13,20346.0,1950.0,SW
AMAZ,W34A382,2023-04-18,38684.0,725.0,SW
AMAZ,W34A383,2023-04-26,32205.0,725.0,SW
AMAZ,W34A386,2023-05-10,21556.0,800.0,SW
AMAZ,W34A393,2023-05-01,16840.0,825.0,SW
AMAZ,W34A440,2023-04-14,1818.0,504.95,SW
AMAZ,W34A451,2023-05-02,2676.0,572.67,SW
AMAZ,W34A463,2023-04-25,26492.0,2100.0,SW
AMAZ,W34A465,2023-05-31,38286.0,2350.0,SW
AMAZ,W34A467,2023-06-08,38286.0,2995.0,SW
AMAZ,W34A475,2023-04-19,3571.0,590.27,SW
AMAZ,W34A478,2023-04-17,33673.0,850.0,SW
AMAZ,W34A478,2023-04-18,28715.0,850.0,SW
AMAZ,W34A481,2023-05-02,2560.0,0.0,SW
AMAZ,W34A489,2023-04-18,10889.0,465.92,SW
AMAZ,W34A507,2023-04-25,12263.0,1700.0,SW
AMAZ,W34A511,2023-04-17,14544.0,0.0,SW
AMAZ,W34A523,2023-04-25,3660.0,617.14,SW
AMAZ,W34A525,2023-04-18,2696.0,365.87,SW
